苛化度苛化作用苛化率	ChemEntity+++苛化度苛化作用苛化率
拖尾峰	ChemEntity+++拖尾峰
外标法	ChemEntity+++外标法
微填充柱	ChemEntity+++微填充柱
溴甲酚绿	ChemEntity+++溴甲酚绿
亚稳离子	ChemEntity+++亚稳离子
阳离子型表面活性剂	ChemEntity+++阳离子型表面活性剂
展开剂	ChemEntity+++展开剂
质量范围	ChemEntity+++质量范围
子离子	ChemEntity+++子离子
组内方差	ChemEntity+++组内方差
最小残差法	ChemEntity+++最小残差法
饱和溶液	ChemEntity+++饱和溶液
饱和蒸汽压	ChemEntity+++饱和蒸汽压
饱和脂肪酸	ChemEntity+++饱和脂肪酸
爆炸混合物	ChemEntity+++爆炸混合物
丙炔	ChemEntity+++丙炔
铂丝	ChemEntity+++铂丝
滴瓶	ChemEntity+++滴瓶
二元酸	ChemEntity+++二元酸
法拉第常数	ChemEntity+++法拉第常数
反应热	ChemEntity+++反应热
非电解质	ChemEntity+++非电解质
非极性键	ChemEntity+++非极性键
分解反应	ChemEntity+++分解反应
分子重排	ChemEntity+++分子重排
分子式	ChemEntity+++分子式
氟利昂	ChemEntity+++氟利昂
甘氨酸	ChemEntity+++甘氨酸
高分子化合物	ChemEntity+++高分子化合物
共轭碱	ChemEntity+++共轭碱
光卤石	ChemEntity+++光卤石
过渡元素	ChemEntity+++过渡元素
果糖	ChemEntity+++果糖
红外分光光度法	ChemEntity+++红外分光光度法
红外光谱	ChemEntity+++红外光谱
化合水	ChemEntity+++化合水
化学方程式	ChemEntity+++化学方程式
化学腐蚀	ChemEntity+++化学腐蚀
化学位移	ChemEntity+++化学位移
还原铁	ChemEntity+++还原铁
极性键	ChemEntity+++极性键
碱性氧化物	ChemEntity+++碱性氧化物
结构式	ChemEntity+++结构式
结晶水	ChemEntity+++结晶水
可燃物	ChemEntity+++可燃物
孔雀绿	ChemEntity+++孔雀绿
离子键	ChemEntity+++离子键
离子强度	ChemEntity+++离子强度
两性氧化物	ChemEntity+++两性氧化物
馏分	ChemEntity+++馏分
铝热剂	ChemEntity+++铝热剂
煤焦油沥青	ChemEntity+++煤焦油沥青
钼酸盐	ChemEntity+++钼酸盐
浓差电势	ChemEntity+++浓差电势
浓硫酸	ChemEntity+++浓硫酸
配位化学	ChemEntity+++配位化学
漂白粉	ChemEntity+++漂白粉
铅蓄电池	ChemEntity+++铅蓄电池
热分解	ChemEntity+++热分解
溶解热	ChemEntity+++溶解热
试管	ChemEntity+++试管
石灰乳	ChemEntity+++石灰乳
石灰水	ChemEntity+++石灰水
石碳酸	ChemEntity+++石碳酸
水合离子	ChemEntity+++水合离子
苏打	ChemEntity+++苏打
无机酸	ChemEntity+++无机酸
吸滤瓶	ChemEntity+++吸滤瓶
吸热反应	ChemEntity+++吸热反应
稀土元素	ChemEntity+++稀土元素
笑气	ChemEntity+++笑气
溴水	ChemEntity+++溴水
乙基	ChemEntity+++乙基
易燃性	ChemEntity+++易燃性
杂环	ChemEntity+++杂环
蒸汽压	ChemEntity+++蒸汽压
直馏汽油	ChemEntity+++直馏汽油
重水	ChemEntity+++重水
锥形瓶	ChemEntity+++锥形瓶
自燃温度	ChemEntity+++自燃温度
苯肼	ChemEntity+++苯肼
二氧化锆	ChemEntity+++二氧化锆
磺胺嘧啶	ChemEntity+++磺胺嘧啶
戊二醛	ChemEntity+++戊二醛
钨酸	ChemEntity+++钨酸
针阀	ChemEntity+++针阀
那可汀	ChemEntity+++那可汀
乌头碱	ChemEntity+++乌头碱
丙烯醇	ChemEntity+++丙烯醇
间苯二酚	ChemEntity+++间苯二酚
临界压力	ChemEntity+++临界压力
柔软剂	ChemEntity+++柔软剂
十六烷值	ChemEntity+++十六烷值
硝酸纤维素	ChemEntity+++硝酸纤维素
嘧啶	ChemEntity+++嘧啶
缓冲罐	ChemEntity+++缓冲罐
丙二烯	ChemEntity+++丙二烯
环丙烷	ChemEntity+++环丙烷
环氧乙烷	ChemEntity+++环氧乙烷
五氧化二钒	ChemEntity+++五氧化二钒
异戊烷	ChemEntity+++异戊烷
抗静电剂	ChemEntity+++抗静电剂
吸收管	ChemEntity+++吸收管
乙酰氯	ChemEntity+++乙酰氯
硫酸氢铵	ChemEntity+++硫酸氢铵
硫酸氢钾	ChemEntity+++硫酸氢钾
吖啶橙	ChemEntity+++吖啶橙
丙烯醛	ChemEntity+++丙烯醛
醛缩酶	ChemEntity+++醛缩酶
艾氏剂	ChemEntity+++艾氏剂
茜素蓝	ChemEntity+++茜素蓝
阿洛糖	ChemEntity+++阿洛糖
阿脲	ChemEntity+++阿脲
阿卓糖	ChemEntity+++阿卓糖
乙酸铝	ChemEntity+++乙酸铝
溴化铝	ChemEntity+++溴化铝
碳化铝	ChemEntity+++碳化铝
氟化铝	ChemEntity+++氟化铝
硝酸铝	ChemEntity+++硝酸铝
硅酸铝	ChemEntity+++硅酸铝
氨基水杨酸	ChemEntity+++氨基水杨酸
乙酸铵	ChemEntity+++乙酸铵
氟化氢铵	ChemEntity+++氟化氢铵
碳酸铵	ChemEntity+++碳酸铵
铬酸铵	ChemEntity+++铬酸铵
氟化铵	ChemEntity+++氟化铵
甲酸铵	ChemEntity+++甲酸铵
氢氧化铵	ChemEntity+++氢氧化铵
碘酸铵	ChemEntity+++碘酸铵
硫酸铁铵	ChemEntity+++硫酸铁铵
草酸铵	ChemEntity+++草酸铵
过硫酸铵	ChemEntity+++过硫酸铵
硬脂酸铵	ChemEntity+++硬脂酸铵
亚硫酸铵	ChemEntity+++亚硫酸铵
三硫化二锑	ChemEntity+++三硫化二锑
三硫化二砷	ChemEntity+++三硫化二砷
酚醛塑料	ChemEntity+++酚醛塑料
醋酸钡	ChemEntity+++醋酸钡
氯酸钡	ChemEntity+++氯酸钡
铬酸钡	ChemEntity+++铬酸钡
氟化钡	ChemEntity+++氟化钡
亚硝酸钡	ChemEntity+++亚硝酸钡
高氯酸钡	ChemEntity+++高氯酸钡
硫化钡	ChemEntity+++硫化钡
苄硫醇	ChemEntity+++苄硫醇
氧化铍	ChemEntity+++氧化铍
碳酸铍	ChemEntity+++碳酸铍
氯化铍	ChemEntity+++氯化铍
硝酸铍	ChemEntity+++硝酸铍
胆绿素	ChemEntity+++胆绿素
硝酸铋	ChemEntity+++硝酸铋
缩二脲	ChemEntity+++缩二脲
氟硼酸	ChemEntity+++氟硼酸
溴乙酸	ChemEntity+++溴乙酸
烧石膏	ChemEntity+++烧石膏
丁胺	ChemEntity+++丁胺
醋酸镉	ChemEntity+++醋酸镉
溴化镉	ChemEntity+++溴化镉
碳酸镉	ChemEntity+++碳酸镉
氢氧化镉	ChemEntity+++氢氧化镉
硝酸镉	ChemEntity+++硝酸镉
镉红	ChemEntity+++镉红
硫酸镉	ChemEntity+++硫酸镉
硫化镉	ChemEntity+++硫化镉
砷酸钙	ChemEntity+++砷酸钙
铬酸钙	ChemEntity+++铬酸钙
氰化钙	ChemEntity+++氰化钙
氢化钙	ChemEntity+++氢化钙
碘化钙	ChemEntity+++碘化钙
磷化钙	ChemEntity+++磷化钙
硫氰酸钙	ChemEntity+++硫氰酸钙
硫化钙	ChemEntity+++硫化钙
香芹酮	ChemEntity+++香芹酮
催化反应	ChemEntity+++催化反应
氢氧化铈	ChemEntity+++氢氧化铈
硝酸铈	ChemEntity+++硝酸铈
草酸铈	ChemEntity+++草酸铈
硫酸铈	ChemEntity+++硫酸铈
氯化铯	ChemEntity+++氯化铯
硫酸铯	ChemEntity+++硫酸铯
氯胺	ChemEntity+++氯胺
氯丹	ChemEntity+++氯丹
甲基氯	ChemEntity+++甲基氯
氯铂酸	ChemEntity+++氯铂酸
氯磺酸	ChemEntity+++氯磺酸
氯化铬	ChemEntity+++氯化铬
醋酸铬	ChemEntity+++醋酸铬
氢氧化铬	ChemEntity+++氢氧化铬
硫酸铬	ChemEntity+++硫酸铬
铬酰氯	ChemEntity+++铬酰氯
柠檬醛	ChemEntity+++柠檬醛
氢氧化钴	ChemEntity+++氢氧化钴
胭脂虫红	ChemEntity+++胭脂虫红
比色管	ChemEntity+++比色管
刚果红	ChemEntity+++刚果红
刚果红试纸	ChemEntity+++刚果红试纸
巴豆酸	ChemEntity+++巴豆酸
碘化亚铜	ChemEntity+++碘化亚铜
箭毒	ChemEntity+++箭毒
硫化剂	ChemEntity+++硫化剂
氰尿酸	ChemEntity+++氰尿酸
环庚烷	ChemEntity+++环庚烷
环己二烯	ChemEntity+++环己二烯
旋风分离器	ChemEntity+++旋风分离器
环辛四烯	ChemEntity+++环辛四烯
环戊烷	ChemEntity+++环戊烷
癸烯	ChemEntity+++癸烯
脱氧剂	ChemEntity+++脱氧剂
狄氏剂	ChemEntity+++狄氏剂
二乙醇胺	ChemEntity+++二乙醇胺
硫酸二乙酯	ChemEntity+++硫酸二乙酯
二硝基甲苯	ChemEntity+++二硝基甲苯
二氧六环	ChemEntity+++二氧六环
搪瓷	ChemEntity+++搪瓷
肠肽酶	ChemEntity+++肠肽酶
麦角甾醇	ChemEntity+++麦角甾醇
赤藓醇	ChemEntity+++赤藓醇
氯乙烷	ChemEntity+++氯乙烷
碘乙烷	ChemEntity+++碘乙烷
硝酸乙酯	ChemEntity+++硝酸乙酯
硝酸铁	ChemEntity+++硝酸铁
碘化亚铁	ChemEntity+++碘化亚铁
芴醇	ChemEntity+++芴醇
氟硅酸	ChemEntity+++氟硅酸
甲醛肟	ChemEntity+++甲醛肟
半乳糖苷	ChemEntity+++半乳糖苷
赤霉酸	ChemEntity+++赤霉酸
戊二酸	ChemEntity+++戊二酸
乙醛酸	ChemEntity+++乙醛酸
血蓝蛋白	ChemEntity+++血蓝蛋白
十七烷	ChemEntity+++十七烷
庚烯	ChemEntity+++庚烯
六氯代苯	ChemEntity+++六氯代苯
己二烯	ChemEntity+++己二烯
六硝基二苯胺	ChemEntity+++六硝基二苯胺
尿黑酸	ChemEntity+++尿黑酸
均聚物	ChemEntity+++均聚物
氢化物	ChemEntity+++氢化物
氢碘酸	ChemEntity+++氢碘酸
羟基喹啉	ChemEntity+++羟基喹啉
次氯酸	ChemEntity+++次氯酸
吲哚乙酸	ChemEntity+++吲哚乙酸
吲哚丁酸	ChemEntity+++吲哚丁酸
氯化碘	ChemEntity+++氯化碘
溴化铁	ChemEntity+++溴化铁
硫酸铁	ChemEntity+++硫酸铁
异丁胺	ChemEntity+++异丁胺
异丁酸	ChemEntity+++异丁酸
异辛烷	ChemEntity+++异辛烷
异戊酸	ChemEntity+++异戊酸
夹套	ChemEntity+++夹套
乙烯酮	ChemEntity+++乙烯酮
朗格缪尔吸附等温线	ChemEntity+++朗格缪尔吸附等温线
钼酸铅	ChemEntity+++钼酸铅
乙酸铅试纸	ChemEntity+++乙酸铅试纸
钨酸铅	ChemEntity+++钨酸铅
里哪醇	ChemEntity+++里哪醇
液相	ChemEntity+++液相
氢氧化锂	ChemEntity+++氢氧化锂
硝酸锂	ChemEntity+++硝酸锂
硫酸锂	ChemEntity+++硫酸锂
立德粉	ChemEntity+++立德粉
硼酸镁	ChemEntity+++硼酸镁
马来酸	ChemEntity+++马来酸
麦芽糖	ChemEntity+++麦芽糖
硫酸锰	ChemEntity+++硫酸锰
硫化锰	ChemEntity+++硫化锰
苯六酸	ChemEntity+++苯六酸
汞溴红	ChemEntity+++汞溴红
巯基噻唑啉	ChemEntity+++巯基噻唑啉
氟化汞	ChemEntity+++氟化汞
硫酸汞	ChemEntity+++硫酸汞
硝酸亚汞	ChemEntity+++硝酸亚汞
碘化汞	ChemEntity+++碘化汞
偏磷酸	ChemEntity+++偏磷酸
异丁烯酸	ChemEntity+++异丁烯酸
甲硫醇	ChemEntity+++甲硫醇
甲氧基	ChemEntity+++甲氧基
甲基纤维素	ChemEntity+++甲基纤维素
甲基橙	ChemEntity+++甲基橙
混酸	ChemEntity+++混酸
一氯代苯	ChemEntity+++一氯代苯
萘酚绿	ChemEntity+++萘酚绿
萘醌	ChemEntity+++萘醌
橙花醇	ChemEntity+++橙花醇
氢氧化镍	ChemEntity+++氢氧化镍
茚三酮	ChemEntity+++茚三酮
硝基甲烷	ChemEntity+++硝基甲烷
草氨酸	ChemEntity+++草氨酸
氯化钯	ChemEntity+++氯化钯
氧化钯	ChemEntity+++氧化钯
仲甲醛	ChemEntity+++仲甲醛
副品红	ChemEntity+++副品红
五羰基铁	ChemEntity+++五羰基铁
并五苯	ChemEntity+++并五苯
戊二烯	ChemEntity+++戊二烯
高碘酸	ChemEntity+++高碘酸
吩嗪	ChemEntity+++吩嗪
苯乙醚	ChemEntity+++苯乙醚
酚藏花红	ChemEntity+++酚藏花红
苯乙醛	ChemEntity+++苯乙醛
苯乙酰胺	ChemEntity+++苯乙酰胺
三溴化磷	ChemEntity+++三溴化磷
胡椒醛	ChemEntity+++胡椒醛
氯化铂	ChemEntity+++氯化铂
聚丙烯腈	ChemEntity+++聚丙烯腈
聚甲醛	ChemEntity+++聚甲醛
铬酸钾	ChemEntity+++铬酸钾
氟化钾	ChemEntity+++氟化钾
次氯酸钾	ChemEntity+++次氯酸钾
碘酸钾	ChemEntity+++碘酸钾
过硫酸钾	ChemEntity+++过硫酸钾
磷酸钾	ChemEntity+++磷酸钾
焦硫酸钾	ChemEntity+++焦硫酸钾
硫氰酸钾	ChemEntity+++硫氰酸钾
亚硫酸钾	ChemEntity+++亚硫酸钾
硫代硫酸钾	ChemEntity+++硫代硫酸钾
丙醛	ChemEntity+++丙醛
吡嗪	ChemEntity+++吡嗪
吡唑啉酮	ChemEntity+++吡唑啉酮
焦磷酸	ChemEntity+++焦磷酸
吡咯烷	ChemEntity+++吡咯烷
吡咯烷酮	ChemEntity+++吡咯烷酮
定性滤纸	ChemEntity+++定性滤纸
栎素	ChemEntity+++栎素
醌茜素	ChemEntity+++醌茜素
硝酸铑	ChemEntity+++硝酸铑
硒酸	ChemEntity+++硒酸
氨基脲	ChemEntity+++氨基脲
醋酸银	ChemEntity+++醋酸银
碳化银	ChemEntity+++碳化银
碳酸银	ChemEntity+++碳酸银
铬酸银	ChemEntity+++铬酸银
氟化银	ChemEntity+++氟化银
氧化银	ChemEntity+++氧化银
谷甾醇	ChemEntity+++谷甾醇
钠汞齐	ChemEntity+++钠汞齐
氨基钠	ChemEntity+++氨基钠
砷酸钠	ChemEntity+++砷酸钠
叠氮化钠	ChemEntity+++叠氮化钠
铋酸钠	ChemEntity+++铋酸钠
亚硫酸氢钠	ChemEntity+++亚硫酸氢钠
溴酸钠	ChemEntity+++溴酸钠
溴化钠	ChemEntity+++溴化钠
铬酸钠	ChemEntity+++铬酸钠
柠檬酸钠	ChemEntity+++柠檬酸钠
磷酸二氢钠	ChemEntity+++磷酸二氢钠
乙醇钠	ChemEntity+++乙醇钠
氟化钠	ChemEntity+++氟化钠
氟醋酸钠	ChemEntity+++氟醋酸钠
碘化钠	ChemEntity+++碘化钠
偏磷酸钠	ChemEntity+++偏磷酸钠
过氧化钠	ChemEntity+++过氧化钠
焦磷酸钠	ChemEntity+++焦磷酸钠
水杨酸钠	ChemEntity+++水杨酸钠
鞘氨醇	ChemEntity+++鞘氨醇
二氧化锡	ChemEntity+++二氧化锡
二氯化锡	ChemEntity+++二氯化锡
氢氧化锶	ChemEntity+++氢氧化锶
硝酸锶	ChemEntity+++硝酸锶
磺酸	ChemEntity+++磺酸
亚硫酸	ChemEntity+++亚硫酸
碲酸	ChemEntity+++碲酸
四氯乙烷	ChemEntity+++四氯乙烷
四硝基甲烷	ChemEntity+++四硝基甲烷
硫脲	ChemEntity+++硫脲
噻吩	ChemEntity+++噻吩
硝酸钍	ChemEntity+++硝酸钍
磷酸三丁酯	ChemEntity+++磷酸三丁酯
三氯苯	ChemEntity+++三氯苯
三乙醇胺	ChemEntity+++三乙醇胺
四氧化三锰	ChemEntity+++四氧化三锰
三硝基甲苯	ChemEntity+++三硝基甲苯
八氧化三铀	ChemEntity+++八氧化三铀
尿刊酸	ChemEntity+++尿刊酸
戊醛	ChemEntity+++戊醛
凡士林油	ChemEntity+++凡士林油
维多利亚绿	ChemEntity+++维多利亚绿
醋酸乙烯酯	ChemEntity+++醋酸乙烯酯
溴化锌	ChemEntity+++溴化锌
碳酸锌	ChemEntity+++碳酸锌
碘化锌	ChemEntity+++碘化锌
硫化锌	ChemEntity+++硫化锌
一氧化铅	ChemEntity+++一氧化铅
苯并噌啉	ChemEntity+++苯并噌啉
吡罗红	ChemEntity+++吡罗红
氟化亚铊	ChemEntity+++氟化亚铊
氟塑料	ChemEntity+++氟塑料
给电子体	ChemEntity+++给电子体
六氰合铁酸钾	ChemEntity+++六氰合铁酸钾
四氧化三铅	ChemEntity+++四氧化三铅
异丙胺	ChemEntity+++异丙胺
乙酸甲酯	ChemEntity+++乙酸甲酯
菑鋘	ChemEntity+++菑鋘
结晶度	ChemEntity+++结晶度
吸湿性	ChemEntity+++吸湿性
锕系元素	ChemEntity+++锕系元素
氨基树脂	ChemEntity+++氨基树脂
半交换期	ChemEntity+++半交换期
半微量分析	ChemEntity+++半微量分析
标记原子	ChemEntity+++标记原子
布拉格角	ChemEntity+++布拉格角
成键配体	ChemEntity+++成键配体
称量瓶	ChemEntity+++称量瓶
充电电流	ChemEntity+++充电电流
臭氧解	ChemEntity+++臭氧解
船型构象	ChemEntity+++船型构象
粗分散系统	ChemEntity+++粗分散系统
大网络树脂	ChemEntity+++大网络树脂
道尔顿体	ChemEntity+++道尔顿体
德拜休克尔极限定律	ChemEntity+++德拜休克尔极限定律
等焓过程	ChemEntity+++等焓过程
低共熔点	ChemEntity+++低共熔点
电荷转移能	ChemEntity+++电荷转移能
靛红肟	ChemEntity+++靛红肟
电流效率	ChemEntity+++电流效率
丁铎尔现象	ChemEntity+++丁铎尔现象
丁二酮肟	ChemEntity+++丁二酮肟
堆密度	ChemEntity+++堆密度
多重照射	ChemEntity+++多重照射
多金属多配体系统	ChemEntity+++多金属多配体系统
多金属氧酸盐	ChemEntity+++多金属氧酸盐
二苯胺磺酸钠	ChemEntity+++二苯胺磺酸钠
二级图谱	ChemEntity+++二级图谱
二阶约化密度矩阵	ChemEntity+++二阶约化密度矩阵
反应进度	ChemEntity+++反应进度
反应临界能	ChemEntity+++反应临界能
芳香性	ChemEntity+++芳香性
非独立粒子系集	ChemEntity+++非独立粒子系集
非规整嵌段	ChemEntity+++非规整嵌段
非晶体学对称性	ChemEntity+++非晶体学对称性
费米狄拉克分布	ChemEntity+++费米狄拉克分布
费托催化过程	ChemEntity+++费托催化过程
分子间作用力	ChemEntity+++分子间作用力
封闭系统	ChemEntity+++封闭系统
副反应系数	ChemEntity+++副反应系数
负吸附	ChemEntity+++负吸附
给电子基团	ChemEntity+++给电子基团
孤对电子	ChemEntity+++孤对电子
广度性质	ChemEntity+++广度性质
规定熵	ChemEntity+++规定熵
亥姆霍兹双层	ChemEntity+++亥姆霍兹双层
核测井	ChemEntity+++核测井
核磁共振波谱法	ChemEntity+++核磁共振波谱法
核同质异能素	ChemEntity+++核同质异能素
互调伏安法	ChemEntity+++互调伏安法
混合价化合物	ChemEntity+++混合价化合物
活性种	ChemEntity+++活性种
继沉淀	ChemEntity+++继沉淀
加成聚合物	ChemEntity+++加成聚合物
价互变异构	ChemEntity+++价互变异构
价态起伏	ChemEntity+++价态起伏
检出限	ChemEntity+++检出限
键角	ChemEntity+++键角
剪切应力	ChemEntity+++剪切应力
降变现象	ChemEntity+++降变现象
角分布	ChemEntity+++角分布
交换能	ChemEntity+++交换能
角甲基	ChemEntity+++角甲基
胶束	ChemEntity+++胶束
校正曲线	ChemEntity+++校正曲线
解聚酶	ChemEntity+++解聚酶
解离能	ChemEntity+++解离能
接枝聚合物	ChemEntity+++接枝聚合物
金硅面垒探测器	ChemEntity+++金硅面垒探测器
竞聚率	ChemEntity+++竞聚率
净原子布居	ChemEntity+++净原子布居
聚苯胺	ChemEntity+++聚苯胺
聚合反应	ChemEntity+++聚合反应
聚乙烯醇缩甲醛	ChemEntity+++聚乙烯醇缩甲醛
绝对反应速率理论	ChemEntity+++绝对反应速率理论
醌氢醌	ChemEntity+++醌氢醌
离去基团	ChemEntity+++离去基团
量子产率	ChemEntity+++量子产率
硫属元素	ChemEntity+++硫属元素
硫属元素化物	ChemEntity+++硫属元素化物
硫叶立德	ChemEntity+++硫叶立德
路易斯酸	ChemEntity+++路易斯酸
洛伦兹线型	ChemEntity+++洛伦兹线型
毛细管凝结	ChemEntity+++毛细管凝结
摩尔气体常数	ChemEntity+++摩尔气体常数
内半缩醛	ChemEntity+++内半缩醛
内过渡元素	ChemEntity+++内过渡元素
内张力	ChemEntity+++内张力
扭折位	ChemEntity+++扭折位
偶极亲质子溶剂	ChemEntity+++偶极亲质子溶剂
泡利不相容原理	ChemEntity+++泡利不相容原理
配体场稳定化能	ChemEntity+++配体场稳定化能
偏摩尔量	ChemEntity+++偏摩尔量
平行测定	ChemEntity+++平行测定
气固色谱法	ChemEntity+++气固色谱法
气相色谱质谱联用仪	ChemEntity+++气相色谱质谱联用仪
嵌段共聚合	ChemEntity+++嵌段共聚合
嵌段聚合	ChemEntity+++嵌段聚合
铅砖	ChemEntity+++铅砖
羟乙基纤维素	ChemEntity+++羟乙基纤维素
亲电重排	ChemEntity+++亲电重排
亲电取代	ChemEntity+++亲电取代
炔化物	ChemEntity+++炔化物
热爆炸	ChemEntity+++热爆炸
热力学第三定律	ChemEntity+++热力学第三定律
热重法	ChemEntity+++热重法
溶剂萃取	ChemEntity+++溶剂萃取
溶剂解	ChemEntity+++溶剂解
溶胶凝胶法	ChemEntity+++溶胶凝胶法
溶液的依数性	ChemEntity+++溶液的依数性
乳状液	ChemEntity+++乳状液
三官能引发剂	ChemEntity+++三官能引发剂
三嵌段共聚物	ChemEntity+++三嵌段共聚物
三引发转移剂	ChemEntity+++三引发转移剂
舒尔策哈代规则	ChemEntity+++舒尔策哈代规则
双分子亲电取代	ChemEntity+++双分子亲电取代
双原子分子	ChemEntity+++双原子分子
四苯硼钠	ChemEntity+++四苯硼钠
速率方程	ChemEntity+++速率方程
缩酮	ChemEntity+++缩酮
态态反应动力学	ChemEntity+++态态反应动力学
碳炔	ChemEntity+++碳炔
弹式热量计	ChemEntity+++弹式热量计
特鲁顿规则	ChemEntity+++特鲁顿规则
调聚反应	ChemEntity+++调聚反应
萜烯树脂	ChemEntity+++萜烯树脂
铁系元素	ChemEntity+++铁系元素
酮烯醇互变异构	ChemEntity+++酮烯醇互变异构
头尾聚合物	ChemEntity+++头尾聚合物
托普勒泵	ChemEntity+++托普勒泵
瓦尔登反转	ChemEntity+++瓦尔登反转
位力系数	ChemEntity+++位力系数
乌氏粘度计	ChemEntity+++乌氏粘度计
烯炔	ChemEntity+++烯炔
向红基	ChemEntity+++向红基
锌试剂	ChemEntity+++锌试剂
选模键激发	ChemEntity+++选模键激发
压缩因子图	ChemEntity+++压缩因子图
氧化物间强相互作用	ChemEntity+++氧化物间强相互作用
阳离子交换剂	ChemEntity+++阳离子交换剂
液固色谱法	ChemEntity+++液固色谱法
液相色谱法	ChemEntity+++液相色谱法
异核去偶	ChemEntity+++异核去偶
铀镭衰变系	ChemEntity+++铀镭衰变系
原子角分布函数	ChemEntity+++原子角分布函数
再聚合	ChemEntity+++再聚合
甾体	ChemEntity+++甾体
甾族	ChemEntity+++甾族
粘均分子量	ChemEntity+++粘均分子量
振动配分函数	ChemEntity+++振动配分函数
振动转动弛豫	ChemEntity+++振动转动弛豫
直链反应	ChemEntity+++直链反应
转动特征温度	ChemEntity+++转动特征温度
准连续区	ChemEntity+++准连续区
准一级反应	ChemEntity+++准一级反应
子体核素	ChemEntity+++子体核素
